"Geography","Race","Year","Variables","Estimate","Margin of Error (90%)"
"San Jose-San Francisco-Oakland, CA CSA","Total","2019","Total","57316","753"
"San Jose-San Francisco-Oakland, CA CSA","Total","2019","Less than high school graduate","30054","747"
"San Jose-San Francisco-Oakland, CA CSA","Total","2019","High school graduate (includes equivalency)","39159","1131"
"San Jose-San Francisco-Oakland, CA CSA","Total","2019","Some college or associate's degree","47309","730"
"San Jose-San Francisco-Oakland, CA CSA","Total","2019","Bachelor's degree","79363","2676"
"San Jose-San Francisco-Oakland, CA CSA","Total","2019","Graduate or professional degree","111893","1747"
"San Jose-San Francisco-Oakland, CA CSA","Total","2019","Male","65811","762"
"San Jose-San Francisco-Oakland, CA CSA","Total","2019","Female","49761","943"
"California","Total","2019","Total","45095","237"
"California","Total","2019","Less than high school graduate","25949","223"
"California","Total","2019","High school graduate (includes equivalency)","33494","630"
"California","Total","2019","Some college or associate's degree","41090","203"
"California","Total","2019","Bachelor's degree","65078","928"
"California","Total","2019","Graduate or professional degree","92334","659"
"California","Total","2019","Male","50839","187"
"California","Total","2019","Female","38688","432"
"United States","Total","2019","Total","41801","44"
"United States","Total","2019","Less than high school graduate","25876","94"
"United States","Total","2019","High school graduate (includes equivalency)","31956","42"
"United States","Total","2019","Some college or associate's degree","38125","148"
"United States","Total","2019","Bachelor's degree","56344","136"
"United States","Total","2019","Graduate or professional degree","75495","179"
"United States","Total","2019","Male","50016","57"
"United States","Total","2019","Female","35728","71"
