"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1",0,0,0,0,0,1,1,1,10,10,10,0,0,10,1,10,1,10,10,10,0,0,1,10,10,10,0,10,0,1,10,11,0
"2",0,0,10,10,9,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,0,9,1,10,10,10,0,10,9,10,10,12,9
"3",0,0,10,10,9,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,0,9,10,10,10,10,10,10,9,10,10,12,9
"4",9,0,10,10,9,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,0,9,10,10,10,10,10,10,9,10,10,12,9
"5",9,10,10,10,9,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,0,9,10,10,10,10,10,10,9,10,10,12,9
"6",9,10,10,10,9,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,0,9,10,10,10,10,10,10,9,10,10,11,9
"7",9,10,10,10,9,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,0,9,10,10,10,10,10,10,9,10,10,10,9
"8",9,10,10,10,9,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,0,9,10,10,10,10,10,10,9,10,10,10,9
"9",9,10,10,10,9,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,9,10,10,10,9
"10",9,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,9,10,10,10,9
